DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AD,TOTAL,2,VALUE_IN_EUROS,2021,5118696,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AE,TOTAL,2,VALUE_IN_EUROS,2021,560154996,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AF,TOTAL,2,VALUE_IN_EUROS,2021,23217812,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AG,TOTAL,2,VALUE_IN_EUROS,2021,571310,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AI,TOTAL,2,VALUE_IN_EUROS,2021,65203,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AL,TOTAL,2,VALUE_IN_EUROS,2021,60295573,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AM,TOTAL,2,VALUE_IN_EUROS,2021,19003004,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AO,TOTAL,2,VALUE_IN_EUROS,2021,4338015,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AR,TOTAL,2,VALUE_IN_EUROS,2021,128148143,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AS,TOTAL,2,VALUE_IN_EUROS,2021,53915,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AU,TOTAL,2,VALUE_IN_EUROS,2021,1163282033,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AW,TOTAL,2,VALUE_IN_EUROS,2021,575440,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AZ,TOTAL,2,VALUE_IN_EUROS,2021,51061450,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BA,TOTAL,2,VALUE_IN_EUROS,2021,493001944,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BB,TOTAL,2,VALUE_IN_EUROS,2021,718371,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BD,TOTAL,2,VALUE_IN_EUROS,2021,91514379,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BE,TOTAL,2,VALUE_IN_EUROS,2021,2973153169,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BF,TOTAL,2,VALUE_IN_EUROS,2021,2349167,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BG,TOTAL,2,VALUE_IN_EUROS,2021,863428573,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BH,TOTAL,2,VALUE_IN_EUROS,2021,30152495,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BI,TOTAL,2,VALUE_IN_EUROS,2021,781560,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BJ,TOTAL,2,VALUE_IN_EUROS,2021,4096312,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BL,TOTAL,2,VALUE_IN_EUROS,2021,43145,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BM,TOTAL,2,VALUE_IN_EUROS,2021,367758,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BN,TOTAL,2,VALUE_IN_EUROS,2021,2115683,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BO,TOTAL,2,VALUE_IN_EUROS,2021,14548390,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BQ,TOTAL,2,VALUE_IN_EUROS,2021,66271,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BR,TOTAL,2,VALUE_IN_EUROS,2021,783428735,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BS,TOTAL,2,VALUE_IN_EUROS,2021,9195156,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BT,TOTAL,2,VALUE_IN_EUROS,2021,448076,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BW,TOTAL,2,VALUE_IN_EUROS,2021,4544532,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BY,TOTAL,2,VALUE_IN_EUROS,2021,124246596,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BZ,TOTAL,2,VALUE_IN_EUROS,2021,4583888,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,CA,TOTAL,2,VALUE_IN_EUROS,2021,1448475397,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,CC,TOTAL,2,VALUE_IN_EUROS,2021,2758,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,CD,TOTAL,2,VALUE_IN_EUROS,2021,1916691,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,CF,TOTAL,2,VALUE_IN_EUROS,2021,1615998,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,CG,TOTAL,2,VALUE_IN_EUROS,2021,1969622,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,CH,TOTAL,2,VALUE_IN_EUROS,2021,8280663900,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,CI,TOTAL,2,VALUE_IN_EUROS,2021,35606085,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,CK,TOTAL,2,VALUE_IN_EUROS,2021,121003,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,CL,TOTAL,2,VALUE_IN_EUROS,2021,255335582,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,CM,TOTAL,2,VALUE_IN_EUROS,2021,6161780,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,CN,TOTAL,2,VALUE_IN_EUROS,2021,4868110508,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,CO,TOTAL,2,VALUE_IN_EUROS,2021,112363741,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,CR,TOTAL,2,VALUE_IN_EUROS,2021,14972699,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,CU,TOTAL,2,VALUE_IN_EUROS,2021,8888459,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,CV,TOTAL,2,VALUE_IN_EUROS,2021,399488,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,CW,TOTAL,2,VALUE_IN_EUROS,2021,868589,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,CY,TOTAL,2,VALUE_IN_EUROS,2021,84477542,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,CZ,TOTAL,2,VALUE_IN_EUROS,2021,6066809455,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,DE,TOTAL,2,VALUE_IN_EUROS,2021,50809706787,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,DJ,TOTAL,2,VALUE_IN_EUROS,2021,3530675,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,DK,TOTAL,2,VALUE_IN_EUROS,2021,1024931000,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,DM,TOTAL,2,VALUE_IN_EUROS,2021,1183171,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,DO,TOTAL,2,VALUE_IN_EUROS,2021,27988568,
