DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AD,TOTAL,1,VALUE_IN_EUROS,2021,97861,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AE,TOTAL,1,VALUE_IN_EUROS,2021,72950417,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AF,TOTAL,1,VALUE_IN_EUROS,2021,1393118,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AG,TOTAL,1,VALUE_IN_EUROS,2021,12495,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AI,TOTAL,1,VALUE_IN_EUROS,2021,14105,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AL,TOTAL,1,VALUE_IN_EUROS,2021,20246551,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AM,TOTAL,1,VALUE_IN_EUROS,2021,2439487,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AO,TOTAL,1,VALUE_IN_EUROS,2021,1456,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AQ,TOTAL,1,VALUE_IN_EUROS,2021,0,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AR,TOTAL,1,VALUE_IN_EUROS,2021,37239890,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AS,TOTAL,1,VALUE_IN_EUROS,2021,1806,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AU,TOTAL,1,VALUE_IN_EUROS,2021,109596297,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AW,TOTAL,1,VALUE_IN_EUROS,2021,65660,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,AZ,TOTAL,1,VALUE_IN_EUROS,2021,48753003,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BA,TOTAL,1,VALUE_IN_EUROS,2021,713304159,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BB,TOTAL,1,VALUE_IN_EUROS,2021,34089,
ESTAT:DS-018995(1.0),20/03/23 11:00:00,A,AT,BD,TOTAL,1,VALUE_IN_EUROS,2021,198187059,
